sim_anneal_select with changing tournament size and annealing rate
Tournament Size, Annealing Rate, Area
2.000000,0.000000,54239.000000
3.000000,0.010000,54239.000000
4.000000,0.020000,54239.000000
5.000000,0.030000,55074.000000
6.000000,0.040000,55074.000000
7.000000,0.050000,55074.000000
8.000000,0.060000,54341.000000
9.000000,0.070000,54341.000000
10.000000,0.080000,54341.000000
11.000000,0.090000,54341.000000
12.000000,0.100000,54341.000000
13.000000,0.110000,54341.000000
14.000000,0.120000,55459.000000
15.000000,0.130000,55459.000000
16.000000,0.140000,55459.000000
17.000000,0.150000,60330.000000
18.000000,0.160000,46493.000000
19.000000,0.170000,81506.000000
20.000000,0.180000,81506.000000
21.000000,0.190000,81506.000000
22.000000,0.200000,81506.000000
23.000000,0.210000,81506.000000
24.000000,0.220000,81506.000000
25.000000,0.230000,81506.000000
26.000000,0.240000,48579.000000
27.000000,0.250000,48579.000000
28.000000,0.260000,48579.000000
29.000000,0.270000,62789.000000
30.000000,0.280000,62789.000000
