dub_tournament_select with changing tournament sizes
Tournament Size, Tournament2 Size, Area
2.000000,1.000000,101747.000000
2.000000,1.050000,87962.000000
2.000000,1.100000,177977.000000
2.000000,1.150000,69634.000000
2.000000,1.200000,99727.000000
2.000000,1.250000,71034.000000
2.000000,1.300000,77339.000000
2.000000,1.350000,61178.000000
2.000000,1.400000,92172.000000
2.000000,1.450000,92183.000000
2.000000,1.500000,93572.000000
2.000000,1.550000,98763.000000
2.000000,1.600000,84633.000000
2.000000,1.650000,93572.000000
2.000000,1.700000,93572.000000
2.000000,1.750000,89907.000000
2.000000,1.800000,115425.000000
2.000000,1.850000,92061.000000
2.000000,1.900000,92061.000000
2.000000,1.950000,93572.000000
2.000000,2.000000,93572.000000
3.000000,1.000000,131681.000000
3.000000,1.050000,77612.000000
3.000000,1.100000,69253.000000
3.000000,1.150000,61936.000000
3.000000,1.200000,116055.000000
3.000000,1.250000,105783.000000
3.000000,1.300000,122601.000000
3.000000,1.350000,95060.000000
3.000000,1.400000,110395.000000
3.000000,1.450000,92682.000000
3.000000,1.500000,61499.000000
3.000000,1.550000,96232.000000
3.000000,1.600000,144299.000000
3.000000,1.650000,68251.000000
3.000000,1.700000,92868.000000
3.000000,1.750000,71662.000000
3.000000,1.800000,92871.000000
3.000000,1.850000,106891.000000
3.000000,1.900000,106891.000000
3.000000,1.950000,106891.000000
3.000000,2.000000,106891.000000
4.000000,1.000000,135552.000000
4.000000,1.050000,84211.000000
4.000000,1.100000,75862.000000
4.000000,1.150000,89548.000000
4.000000,1.200000,74996.000000
4.000000,1.250000,69140.000000
4.000000,1.300000,111985.000000
4.000000,1.350000,97186.000000
4.000000,1.400000,56493.000000
4.000000,1.450000,75090.000000
4.000000,1.500000,117576.000000
4.000000,1.550000,122736.000000
4.000000,1.600000,107456.000000
4.000000,1.650000,122016.000000
4.000000,1.700000,117576.000000
4.000000,1.750000,101210.000000
4.000000,1.800000,120182.000000
4.000000,1.850000,110963.000000
4.000000,1.900000,117576.000000
4.000000,1.950000,112767.000000
4.000000,2.000000,122016.000000
5.000000,1.000000,72057.000000
5.000000,1.050000,71478.000000
5.000000,1.100000,64290.000000
5.000000,1.150000,68838.000000
5.000000,1.200000,139771.000000
5.000000,1.250000,125587.000000
5.000000,1.300000,59412.000000
5.000000,1.350000,54812.000000
5.000000,1.400000,135831.000000
5.000000,1.450000,55537.000000
5.000000,1.500000,58109.000000
5.000000,1.550000,109542.000000
5.000000,1.600000,100130.000000
5.000000,1.650000,92702.000000
5.000000,1.700000,56253.000000
5.000000,1.750000,90021.000000
5.000000,1.800000,92542.000000
5.000000,1.850000,107285.000000
5.000000,1.900000,86990.000000
5.000000,1.950000,86990.000000
5.000000,2.000000,92702.000000
6.000000,1.000000,70911.000000
6.000000,1.050000,95189.000000
6.000000,1.100000,94676.000000
6.000000,1.150000,110501.000000
6.000000,1.200000,85759.000000
6.000000,1.250000,72703.000000
6.000000,1.300000,89094.000000
6.000000,1.350000,88250.000000
6.000000,1.400000,89154.000000
6.000000,1.450000,130157.000000
6.000000,1.500000,69924.000000
6.000000,1.550000,64171.000000
6.000000,1.600000,79638.000000
6.000000,1.650000,83979.000000
6.000000,1.700000,105157.000000
6.000000,1.750000,53883.000000
6.000000,1.800000,93008.000000
6.000000,1.850000,76448.000000
6.000000,1.900000,55129.000000
6.000000,1.950000,113149.000000
6.000000,2.000000,113149.000000
7.000000,1.000000,89486.000000
7.000000,1.050000,182273.000000
7.000000,1.100000,120787.000000
7.000000,1.150000,129737.000000
7.000000,1.200000,68145.000000
7.000000,1.250000,67172.000000
7.000000,1.300000,70107.000000
7.000000,1.350000,53492.000000
7.000000,1.400000,118241.000000
7.000000,1.450000,91048.000000
7.000000,1.500000,129415.000000
7.000000,1.550000,100147.000000
7.000000,1.600000,107296.000000
7.000000,1.650000,127272.000000
7.000000,1.700000,103844.000000
7.000000,1.750000,105162.000000
7.000000,1.800000,137762.000000
7.000000,1.850000,88531.000000
7.000000,1.900000,121426.000000
7.000000,1.950000,85585.000000
7.000000,2.000000,85585.000000
8.000000,1.000000,136596.000000
8.000000,1.050000,99454.000000
8.000000,1.100000,74015.000000
8.000000,1.150000,67286.000000
8.000000,1.200000,65061.000000
8.000000,1.250000,62686.000000
8.000000,1.300000,104882.000000
8.000000,1.350000,92223.000000
8.000000,1.400000,114896.000000
8.000000,1.450000,71986.000000
8.000000,1.500000,68016.000000
8.000000,1.550000,60510.000000
8.000000,1.600000,96519.000000
8.000000,1.650000,106631.000000
8.000000,1.700000,71565.000000
8.000000,1.750000,91405.000000
8.000000,1.800000,133378.000000
8.000000,1.850000,76110.000000
8.000000,1.900000,97699.000000
8.000000,1.950000,100426.000000
8.000000,2.000000,100426.000000
9.000000,1.000000,101461.000000
9.000000,1.050000,75074.000000
9.000000,1.100000,77266.000000
9.000000,1.150000,110163.000000
9.000000,1.200000,141836.000000
9.000000,1.250000,120728.000000
9.000000,1.300000,103962.000000
9.000000,1.350000,120215.000000
9.000000,1.400000,75542.000000
9.000000,1.450000,106244.000000
9.000000,1.500000,125525.000000
9.000000,1.550000,121918.000000
9.000000,1.600000,74796.000000
9.000000,1.650000,90797.000000
9.000000,1.700000,97395.000000
9.000000,1.750000,95741.000000
9.000000,1.800000,98001.000000
9.000000,1.850000,69330.000000
9.000000,1.900000,93801.000000
9.000000,1.950000,109478.000000
9.000000,2.000000,74196.000000
10.000000,1.000000,157067.000000
10.000000,1.050000,106092.000000
10.000000,1.100000,71437.000000
10.000000,1.150000,84428.000000
10.000000,1.200000,70812.000000
10.000000,1.250000,131269.000000
10.000000,1.300000,90132.000000
10.000000,1.350000,145684.000000
10.000000,1.400000,94072.000000
10.000000,1.450000,75708.000000
10.000000,1.500000,98084.000000
10.000000,1.550000,76188.000000
10.000000,1.600000,64048.000000
10.000000,1.650000,71808.000000
10.000000,1.700000,71279.000000
10.000000,1.750000,146591.000000
10.000000,1.800000,111038.000000
10.000000,1.850000,111990.000000
10.000000,1.900000,149836.000000
10.000000,1.950000,130097.000000
10.000000,2.000000,73317.000000
11.000000,1.000000,98340.000000
11.000000,1.050000,126260.000000
11.000000,1.100000,106815.000000
11.000000,1.150000,153806.000000
11.000000,1.200000,135850.000000
11.000000,1.250000,63295.000000
11.000000,1.300000,90262.000000
11.000000,1.350000,86465.000000
11.000000,1.400000,115717.000000
11.000000,1.450000,72428.000000
11.000000,1.500000,63684.000000
11.000000,1.550000,98556.000000
11.000000,1.600000,138021.000000
11.000000,1.650000,97656.000000
11.000000,1.700000,115880.000000
11.000000,1.750000,101456.000000
11.000000,1.800000,114199.000000
11.000000,1.850000,69771.000000
11.000000,1.900000,107752.000000
11.000000,1.950000,76229.000000
11.000000,2.000000,88989.000000
12.000000,1.000000,116595.000000
12.000000,1.050000,174288.000000
12.000000,1.100000,62929.000000
12.000000,1.150000,179730.000000
12.000000,1.200000,70468.000000
12.000000,1.250000,66416.000000
12.000000,1.300000,145530.000000
12.000000,1.350000,123446.000000
12.000000,1.400000,70922.000000
12.000000,1.450000,65302.000000
12.000000,1.500000,69601.000000
12.000000,1.550000,103319.000000
12.000000,1.600000,93912.000000
12.000000,1.650000,97242.000000
12.000000,1.700000,74738.000000
12.000000,1.750000,150051.000000
12.000000,1.800000,94536.000000
12.000000,1.850000,103990.000000
12.000000,1.900000,66626.000000
12.000000,1.950000,95618.000000
12.000000,2.000000,95604.000000
13.000000,1.000000,145207.000000
13.000000,1.050000,69356.000000
13.000000,1.100000,72232.000000
13.000000,1.150000,122636.000000
13.000000,1.200000,121553.000000
13.000000,1.250000,71132.000000
13.000000,1.300000,53786.000000
13.000000,1.350000,68836.000000
13.000000,1.400000,144910.000000
13.000000,1.450000,64493.000000
13.000000,1.500000,121821.000000
13.000000,1.550000,56616.000000
13.000000,1.600000,71573.000000
13.000000,1.650000,69217.000000
13.000000,1.700000,155947.000000
13.000000,1.750000,185013.000000
13.000000,1.800000,71119.000000
13.000000,1.850000,75709.000000
13.000000,1.900000,85594.000000
13.000000,1.950000,121769.000000
13.000000,2.000000,86165.000000
14.000000,1.000000,127210.000000
14.000000,1.050000,77660.000000
14.000000,1.100000,71231.000000
14.000000,1.150000,71150.000000
14.000000,1.200000,75395.000000
14.000000,1.250000,104040.000000
14.000000,1.300000,98840.000000
14.000000,1.350000,99772.000000
14.000000,1.400000,67991.000000
14.000000,1.450000,69674.000000
14.000000,1.500000,71084.000000
14.000000,1.550000,87157.000000
14.000000,1.600000,114088.000000
14.000000,1.650000,118820.000000
14.000000,1.700000,104057.000000
14.000000,1.750000,95863.000000
14.000000,1.800000,70333.000000
14.000000,1.850000,74224.000000
14.000000,1.900000,62145.000000
14.000000,1.950000,69596.000000
14.000000,2.000000,130242.000000
15.000000,1.000000,161720.000000
15.000000,1.050000,98301.000000
15.000000,1.100000,140782.000000
15.000000,1.150000,120327.000000
15.000000,1.200000,98589.000000
15.000000,1.250000,108725.000000
15.000000,1.300000,72248.000000
15.000000,1.350000,103932.000000
15.000000,1.400000,95337.000000
15.000000,1.450000,99628.000000
15.000000,1.500000,70393.000000
15.000000,1.550000,67022.000000
15.000000,1.600000,86574.000000
15.000000,1.650000,74491.000000
15.000000,1.700000,74491.000000
15.000000,1.750000,114583.000000
15.000000,1.800000,138092.000000
15.000000,1.850000,82170.000000
15.000000,1.900000,106381.000000
15.000000,1.950000,78726.000000
15.000000,2.000000,71489.000000
16.000000,1.000000,90621.000000
16.000000,1.050000,116797.000000
16.000000,1.100000,104897.000000
16.000000,1.150000,113341.000000
16.000000,1.200000,128857.000000
16.000000,1.250000,157365.000000
16.000000,1.300000,71172.000000
16.000000,1.350000,102181.000000
16.000000,1.400000,84741.000000
16.000000,1.450000,90174.000000
16.000000,1.500000,133653.000000
16.000000,1.550000,77980.000000
16.000000,1.600000,135444.000000
16.000000,1.650000,104175.000000
16.000000,1.700000,96044.000000
16.000000,1.750000,96092.000000
16.000000,1.800000,159499.000000
16.000000,1.850000,124787.000000
16.000000,1.900000,122817.000000
16.000000,1.950000,137545.000000
16.000000,2.000000,67582.000000
17.000000,1.000000,171789.000000
17.000000,1.050000,87253.000000
17.000000,1.100000,142044.000000
17.000000,1.150000,116942.000000
17.000000,1.200000,120916.000000
17.000000,1.250000,149865.000000
17.000000,1.300000,129876.000000
17.000000,1.350000,127568.000000
17.000000,1.400000,143297.000000
17.000000,1.450000,85348.000000
17.000000,1.500000,88774.000000
17.000000,1.550000,114631.000000
17.000000,1.600000,168151.000000
17.000000,1.650000,144823.000000
17.000000,1.700000,124684.000000
17.000000,1.750000,146056.000000
17.000000,1.800000,73244.000000
17.000000,1.850000,78390.000000
17.000000,1.900000,54368.000000
17.000000,1.950000,77642.000000
17.000000,2.000000,74526.000000
18.000000,1.000000,106566.000000
18.000000,1.050000,158578.000000
18.000000,1.100000,78012.000000
18.000000,1.150000,140890.000000
18.000000,1.200000,96637.000000
18.000000,1.250000,73912.000000
18.000000,1.300000,60487.000000
18.000000,1.350000,68058.000000
18.000000,1.400000,83696.000000
18.000000,1.450000,68960.000000
18.000000,1.500000,93886.000000
18.000000,1.550000,75580.000000
18.000000,1.600000,60188.000000
18.000000,1.650000,82759.000000
18.000000,1.700000,133879.000000
18.000000,1.750000,133961.000000
18.000000,1.800000,69472.000000
18.000000,1.850000,97894.000000
18.000000,1.900000,74400.000000
18.000000,1.950000,62270.000000
18.000000,2.000000,93582.000000
19.000000,1.000000,103844.000000
19.000000,1.050000,140320.000000
19.000000,1.100000,77372.000000
19.000000,1.150000,67789.000000
19.000000,1.200000,93290.000000
19.000000,1.250000,103251.000000
19.000000,1.300000,119758.000000
19.000000,1.350000,114869.000000
19.000000,1.400000,156748.000000
19.000000,1.450000,120637.000000
19.000000,1.500000,136970.000000
19.000000,1.550000,71380.000000
19.000000,1.600000,69631.000000
19.000000,1.650000,72467.000000
19.000000,1.700000,65816.000000
19.000000,1.750000,68420.000000
19.000000,1.800000,69101.000000
19.000000,1.850000,76255.000000
19.000000,1.900000,152785.000000
19.000000,1.950000,73954.000000
19.000000,2.000000,106995.000000
20.000000,1.000000,142220.000000
20.000000,1.050000,128775.000000
20.000000,1.100000,71868.000000
20.000000,1.150000,122893.000000
20.000000,1.200000,73053.000000
20.000000,1.250000,78427.000000
20.000000,1.300000,93452.000000
20.000000,1.350000,106190.000000
20.000000,1.400000,74753.000000
20.000000,1.450000,68101.000000
20.000000,1.500000,57617.000000
20.000000,1.550000,75567.000000
20.000000,1.600000,105641.000000
20.000000,1.650000,89810.000000
20.000000,1.700000,74797.000000
20.000000,1.750000,120997.000000
20.000000,1.800000,107223.000000
20.000000,1.850000,72077.000000
20.000000,1.900000,80830.000000
20.000000,1.950000,100389.000000
20.000000,2.000000,110705.000000
