dub_tournament_select with changing tournament sizes
Tournament Size, Tournament2 Size, Area
2.000000,1.000000,135339.000000
3.000000,1.050000,98554.000000
4.000000,1.100000,103873.000000
5.000000,1.150000,87484.000000
6.000000,1.200000,60496.000000
7.000000,1.250000,98523.000000
8.000000,1.300000,100269.000000
9.000000,1.350000,92705.000000
10.000000,1.400000,77975.000000
11.000000,1.450000,80755.000000
12.000000,1.500000,104303.000000
13.000000,1.550000,106153.000000
14.000000,1.600000,104112.000000
15.000000,1.650000,104208.000000
16.000000,1.700000,104322.000000
17.000000,1.750000,133592.000000
18.000000,1.800000,106168.000000
19.000000,1.850000,102703.000000
20.000000,1.900000,104318.000000
