eps_lexicase_select with changing epsilons
Epsilon, Area
0.000000,100853.000000
5.000000,69951.000000
10.000000,51241.000000
15.000000,67647.000000
20.000000,43892.000000
25.000000,77148.000000
30.000000,46655.000000
35.000000,58838.000000
40.000000,52188.000000
45.000000,53175.000000
50.000000,61013.000000
55.000000,39027.000000
60.000000,42422.000000
65.000000,39060.000000
70.000000,42891.000000
75.000000,38744.000000
80.000000,47077.000000
85.000000,51443.000000
90.000000,48146.000000
95.000000,46093.000000
100.000000,46853.000000
105.000000,50148.000000
110.000000,49590.000000
115.000000,47106.000000
120.000000,62181.000000
125.000000,43174.000000
130.000000,48965.000000
135.000000,51934.000000
140.000000,54442.000000
145.000000,56562.000000
150.000000,53012.000000
155.000000,48230.000000
160.000000,47453.000000
165.000000,49917.000000
170.000000,46714.000000
175.000000,50225.000000
180.000000,51431.000000
185.000000,47547.000000
190.000000,54954.000000
195.000000,44408.000000
200.000000,51211.000000
205.000000,49609.000000
210.000000,50236.000000
215.000000,49334.000000
220.000000,50612.000000
225.000000,51193.000000
230.000000,53224.000000
235.000000,50468.000000
240.000000,49120.000000
245.000000,47120.000000
250.000000,49618.000000
255.000000,56120.000000
260.000000,49391.000000
265.000000,46811.000000
270.000000,50743.000000
275.000000,51506.000000
280.000000,49595.000000
285.000000,55766.000000
290.000000,53551.000000
295.000000,52818.000000
500.000000,65715.000000
