sim_anneal_select with changing tournament size and annealing rate
Tournament Size, Annealing Rate, Area
2.000000,0.000000,60329.000000
2.000000,0.050000,61800.000000
2.000000,0.100000,49080.000000
2.000000,0.150000,51511.000000
2.000000,0.200000,57060.000000
2.000000,0.250000,59610.000000
2.000000,0.300000,51118.000000
2.000000,0.350000,60164.000000
2.000000,0.400000,45121.000000
2.000000,0.450000,57842.000000
2.000000,0.500000,51503.000000
2.000000,0.550000,54178.000000
2.000000,0.600000,55923.000000
2.000000,0.650000,47247.000000
2.000000,0.700000,59960.000000
2.000000,0.750000,50729.000000
2.000000,0.800000,62587.000000
2.000000,0.850000,60187.000000
2.000000,0.900000,62524.000000
2.000000,0.950000,56262.000000
3.000000,0.000000,42769.000000
3.000000,0.050000,59940.000000
3.000000,0.100000,59814.000000
3.000000,0.150000,54156.000000
3.000000,0.200000,65001.000000
3.000000,0.250000,54343.000000
3.000000,0.300000,55046.000000
3.000000,0.350000,60898.000000
3.000000,0.400000,53548.000000
3.000000,0.450000,53157.000000
3.000000,0.500000,57338.000000
3.000000,0.550000,51541.000000
3.000000,0.600000,50120.000000
3.000000,0.650000,47472.000000
3.000000,0.700000,66754.000000
3.000000,0.750000,50561.000000
3.000000,0.800000,91340.000000
3.000000,0.850000,66391.000000
3.000000,0.900000,55261.000000
3.000000,0.950000,54958.000000
4.000000,0.000000,50265.000000
4.000000,0.050000,53137.000000
4.000000,0.100000,59212.000000
4.000000,0.150000,52262.000000
4.000000,0.200000,55746.000000
4.000000,0.250000,69343.000000
4.000000,0.300000,49233.000000
4.000000,0.350000,49816.000000
4.000000,0.400000,49838.000000
4.000000,0.450000,64641.000000
4.000000,0.500000,54829.000000
4.000000,0.550000,61686.000000
4.000000,0.600000,74525.000000
4.000000,0.650000,56437.000000
4.000000,0.700000,51301.000000
4.000000,0.750000,62692.000000
4.000000,0.800000,49191.000000
4.000000,0.850000,60124.000000
4.000000,0.900000,69219.000000
4.000000,0.950000,59290.000000
5.000000,0.000000,59877.000000
5.000000,0.050000,67141.000000
5.000000,0.100000,56316.000000
5.000000,0.150000,49393.000000
5.000000,0.200000,54807.000000
5.000000,0.250000,48302.000000
5.000000,0.300000,46641.000000
5.000000,0.350000,46403.000000
5.000000,0.400000,42973.000000
5.000000,0.450000,52677.000000
5.000000,0.500000,42875.000000
5.000000,0.550000,52387.000000
5.000000,0.600000,52996.000000
5.000000,0.650000,56230.000000
5.000000,0.700000,56231.000000
5.000000,0.750000,49725.000000
5.000000,0.800000,54254.000000
5.000000,0.850000,53979.000000
5.000000,0.900000,46735.000000
5.000000,0.950000,57783.000000
6.000000,0.000000,55407.000000
6.000000,0.050000,46970.000000
6.000000,0.100000,57209.000000
6.000000,0.150000,54484.000000
6.000000,0.200000,48427.000000
6.000000,0.250000,46747.000000
6.000000,0.300000,46534.000000
6.000000,0.350000,75835.000000
6.000000,0.400000,45234.000000
6.000000,0.450000,55304.000000
6.000000,0.500000,45012.000000
6.000000,0.550000,53549.000000
6.000000,0.600000,45369.000000
6.000000,0.650000,58235.000000
6.000000,0.700000,50751.000000
6.000000,0.750000,40559.000000
6.000000,0.800000,58853.000000
6.000000,0.850000,58770.000000
6.000000,0.900000,115792.000000
6.000000,0.950000,50623.000000
7.000000,0.000000,65209.000000
7.000000,0.050000,49221.000000
7.000000,0.100000,53249.000000
7.000000,0.150000,38625.000000
7.000000,0.200000,38625.000000
7.000000,0.250000,56721.000000
7.000000,0.300000,60274.000000
7.000000,0.350000,46001.000000
7.000000,0.400000,40926.000000
7.000000,0.450000,46860.000000
7.000000,0.500000,41851.000000
7.000000,0.550000,52182.000000
7.000000,0.600000,44797.000000
7.000000,0.650000,40102.000000
7.000000,0.700000,47048.000000
7.000000,0.750000,42857.000000
7.000000,0.800000,49523.000000
7.000000,0.850000,50972.000000
7.000000,0.900000,43840.000000
7.000000,0.950000,55327.000000
8.000000,0.000000,49265.000000
8.000000,0.050000,66560.000000
8.000000,0.100000,54651.000000
8.000000,0.150000,43273.000000
8.000000,0.200000,49078.000000
8.000000,0.250000,48009.000000
8.000000,0.300000,49062.000000
8.000000,0.350000,47415.000000
8.000000,0.400000,61159.000000
8.000000,0.450000,51678.000000
8.000000,0.500000,43191.000000
8.000000,0.550000,47726.000000
8.000000,0.600000,60148.000000
8.000000,0.650000,63825.000000
8.000000,0.700000,35907.000000
8.000000,0.750000,49121.000000
8.000000,0.800000,52258.000000
8.000000,0.850000,57625.000000
8.000000,0.900000,47018.000000
8.000000,0.950000,87983.000000
9.000000,0.000000,55353.000000
9.000000,0.050000,55353.000000
9.000000,0.100000,54168.000000
9.000000,0.150000,69728.000000
9.000000,0.200000,47159.000000
9.000000,0.250000,43240.000000
9.000000,0.300000,43269.000000
9.000000,0.350000,44424.000000
9.000000,0.400000,44334.000000
9.000000,0.450000,49399.000000
9.000000,0.500000,57146.000000
9.000000,0.550000,44086.000000
9.000000,0.600000,49195.000000
9.000000,0.650000,44638.000000
9.000000,0.700000,39200.000000
9.000000,0.750000,58127.000000
9.000000,0.800000,45849.000000
9.000000,0.850000,36008.000000
9.000000,0.900000,42115.000000
9.000000,0.950000,42354.000000
10.000000,0.000000,64834.000000
10.000000,0.050000,48707.000000
10.000000,0.100000,51194.000000
10.000000,0.150000,53409.000000
10.000000,0.200000,60234.000000
10.000000,0.250000,56352.000000
10.000000,0.300000,50443.000000
10.000000,0.350000,55034.000000
10.000000,0.400000,59626.000000
10.000000,0.450000,45841.000000
10.000000,0.500000,38930.000000
10.000000,0.550000,44901.000000
10.000000,0.600000,38143.000000
10.000000,0.650000,37936.000000
10.000000,0.700000,47339.000000
10.000000,0.750000,45067.000000
10.000000,0.800000,42040.000000
10.000000,0.850000,52811.000000
10.000000,0.900000,48890.000000
10.000000,0.950000,50430.000000
11.000000,0.000000,71133.000000
11.000000,0.050000,53142.000000
11.000000,0.100000,63317.000000
11.000000,0.150000,41875.000000
11.000000,0.200000,41875.000000
11.000000,0.250000,61177.000000
11.000000,0.300000,50726.000000
11.000000,0.350000,54779.000000
11.000000,0.400000,52078.000000
11.000000,0.450000,54556.000000
11.000000,0.500000,45119.000000
11.000000,0.550000,52324.000000
11.000000,0.600000,47324.000000
11.000000,0.650000,47829.000000
11.000000,0.700000,57187.000000
11.000000,0.750000,39850.000000
11.000000,0.800000,44194.000000
11.000000,0.850000,40782.000000
11.000000,0.900000,45579.000000
11.000000,0.950000,58630.000000
12.000000,0.000000,56527.000000
12.000000,0.050000,56494.000000
12.000000,0.100000,38580.000000
12.000000,0.150000,39297.000000
12.000000,0.200000,45544.000000
12.000000,0.250000,47906.000000
12.000000,0.300000,47034.000000
12.000000,0.350000,49535.000000
12.000000,0.400000,50210.000000
12.000000,0.450000,49112.000000
12.000000,0.500000,50805.000000
12.000000,0.550000,44774.000000
12.000000,0.600000,41243.000000
12.000000,0.650000,55993.000000
12.000000,0.700000,50594.000000
12.000000,0.750000,49358.000000
12.000000,0.800000,47644.000000
12.000000,0.850000,46738.000000
12.000000,0.900000,47454.000000
12.000000,0.950000,58555.000000
13.000000,0.000000,43907.000000
13.000000,0.050000,54077.000000
13.000000,0.100000,38569.000000
13.000000,0.150000,35893.000000
13.000000,0.200000,35893.000000
13.000000,0.250000,40157.000000
13.000000,0.300000,38690.000000
13.000000,0.350000,43101.000000
13.000000,0.400000,58112.000000
13.000000,0.450000,52586.000000
13.000000,0.500000,48633.000000
13.000000,0.550000,45344.000000
13.000000,0.600000,48251.000000
13.000000,0.650000,47234.000000
13.000000,0.700000,47834.000000
13.000000,0.750000,55306.000000
13.000000,0.800000,45205.000000
13.000000,0.850000,50359.000000
13.000000,0.900000,48895.000000
13.000000,0.950000,43658.000000
14.000000,0.000000,43433.000000
14.000000,0.050000,41876.000000
14.000000,0.100000,39902.000000
14.000000,0.150000,38747.000000
14.000000,0.200000,38674.000000
14.000000,0.250000,47238.000000
14.000000,0.300000,50699.000000
14.000000,0.350000,47267.000000
14.000000,0.400000,38904.000000
14.000000,0.450000,52162.000000
14.000000,0.500000,48478.000000
14.000000,0.550000,44588.000000
14.000000,0.600000,78464.000000
14.000000,0.650000,53689.000000
14.000000,0.700000,46349.000000
14.000000,0.750000,48020.000000
14.000000,0.800000,57559.000000
14.000000,0.850000,38299.000000
14.000000,0.900000,37822.000000
14.000000,0.950000,47864.000000
15.000000,0.000000,41644.000000
15.000000,0.050000,47751.000000
15.000000,0.100000,42880.000000
15.000000,0.150000,54391.000000
15.000000,0.200000,50143.000000
15.000000,0.250000,44545.000000
15.000000,0.300000,49581.000000
15.000000,0.350000,49577.000000
15.000000,0.400000,56743.000000
15.000000,0.450000,40911.000000
15.000000,0.500000,56588.000000
15.000000,0.550000,46321.000000
15.000000,0.600000,59426.000000
15.000000,0.650000,39659.000000
15.000000,0.700000,48444.000000
